Product image,Product text and metadata,Top K,Predicted product category,timestamp
.gradio\flagged\Product image\8d7aef63acc8fe7743b1\Screenshot 2026-05-25 164742.png,,5,"{""label"": null, ""confidences"": null}",2026-05-25 16:48:11.656110
.gradio\flagged\Product image\68eea62ee866fc4a46b9\Screenshot 2026-05-25 164742.png,,5,"{""label"": null, ""confidences"": null}",2026-05-25 16:48:16.294876
